array,9,9,2,2,9,25,9,54
bempl,8,8,2,2,8,21,8,222
binary-tree,9,9,1,1,9,688,9,1212
class-diagram,4,4,1,1,6,121,6,170
classroom,28,28,3,3,29,1598,28,2040
classroom-fol,34,34,4,4,37,2289,35,2670
classroom-rl,27,27,2,2,28,1686,28,1974
courses-v1,42,42,11,11,48,1135,44,2318
courses-v2,58,58,15,15,61,1668,59,2794
c-tree,7,7,3,3,8,395,7,657
cv,16,16,6,6,20,516,19,1061
dll,9,9,2,2,9,277,9,708
fsm,14,14,5,5,15,269,15,790
grade,10,10,3,3,10,20,10,452
graph,7,7,1,1,8,113,8,163
handshake,19,19,5,5,20,2238,19,4392
lts,14,14,5,5,14,302,14,406
nqueens,8,8,8,8,16,16,8,128
production-line-v1,9,9,3,3,12,162,10,573
production-line-v2,29,29,3,3,31,2333,31,3628
production-line-v3,31,31,5,5,35,3077,33,4194
singly-linked-list,4,4,1,1,4,8,4,67
social-media,31,31,11,11,33,4501,33,5410
train-station-fol,26,26,4,4,26,2951,26,3245
train-station-ltl,44,44,2,2,45,2667,45,5441
trash-fol,15,15,0,0,16,1168,16,1219
trash-ltl,23,23,5,5,23,3178,23,7720
trash-rl,11,11,0,0,12,556,12,616
